Classes,Ratio R2,Jawline Width D5,Ratio R3,angle A1,Forehead width D2,face length D3,chin_width D6,angle A2,Ratio R1,Ratio R8,Ratio R7,Ratio R3,Ratio R4,Ratio R5,Ratio R6,Ratio R9,Ratio R10,cheekbone width D1,jawline length D4,chin shape D7,angle A3
heart,0.779271775,112.15,0.726261304,67.56383246,122.07,168.08,62.97,55.57208554,0.931974347,0.918735152,0.480760421,0.726261304,1.167900134,0.56148016,1.186437986,0.666161391,0.517071621,130.98,74.71,32.56,75.21509226
heart,0.80520884,245.03,0.713756957,57.03211262,264.19,370.14,132.09,46.33265826,0.886424641,0.927476437,0.443195544,0.713756957,1.216340856,0.539076848,1.054659702,0.568542627,0.515330457,298.04,139.31,68.07,70.31425756
heart,0.744790119,148.57,0.641016935,64.06099693,151.03,235.61,84.38,51.53218922,0.860667882,0.983711845,0.480852519,0.641016935,1.181126742,0.567947769,1.176819151,0.668371811,0.536620052,175.48,99.3,45.28,74.74600602
heart,0.796622648,428.26,0.692203868,69.39444332,451.31,651.99,231.03,58.60907667,0.86892316,0.948926459,0.444810258,0.692203868,1.212791295,0.539462009,1.209496602,0.652477467,0.532831234,519.39,279.43,123.1,72.42990984
heart,0.704859285,170.66,0.656134929,57.59717325,199.57,304.16,97.62,45.03643997,0.930873641,0.855138548,0.455338402,0.656134929,1.256240478,0.572014532,1.123335382,0.642564163,0.526019258,214.39,109.66,51.35,67.78234681
heart,0.787801779,259.77,0.718227316,65.41083723,276.97,385.63,149.41,51.36454598,0.911685319,0.937899411,0.491803818,0.718227316,1.169496093,0.575162644,1.052205341,0.605189206,0.523124289,303.8,157.21,78.16,76.15841121
heart,0.829462758,245.18,0.769621061,61.10080709,265.45,344.91,135.94,50.77777581,0.927854871,0.923639103,0.475165158,0.769621061,1.166857003,0.554449792,1.103207297,0.611673057,0.525599529,286.09,149.97,71.45,75.15332228
heart,0.744096523,251,0.701699995,66.62310727,271.6,387.06,148,52.68989101,0.943022812,0.924153166,0.513871046,0.701699995,1.147450199,0.589641434,1.039256757,0.612788845,0.520337838,288.01,153.81,77.01,77.40326417
heart,0.806062232,100.18,0.736118562,64.8315351,109.77,149.12,54.15,53.64615847,0.913227953,0.912635511,0.450499168,0.736118562,1.199840287,0.540527051,1.064265928,0.575264524,0.538319483,120.2,57.63,29.15,73.52750715
heart,0.772047244,80.02,0.726535433,66.50143432,92.27,127,45.01,52.9071627,0.941050484,0.867237455,0.459051504,0.726535433,1.22531867,0.562484379,1.141968451,0.642339415,0.533214841,98.05,51.4,24,69.81164632
